model,horizon_step,MAE,RMSE
LSTM_baseline,1,0.06669433414936066,0.08898188173770905
LSTM_baseline,2,0.07012176513671875,0.09389258176088333
LSTM_baseline,3,0.07201378047466278,0.09728571027517319
LSTM_baseline,4,0.07536507397890091,0.1006493866443634
LSTM_baseline,5,0.0763278529047966,0.10180097073316574
LSTM_baseline,6,0.07796481996774673,0.1030159592628479
LSTM_baseline,7,0.07923444360494614,0.10475834459066391
LSTM_baseline,8,0.08111678063869476,0.10538239032030106
LSTM_baseline,9,0.08288111537694931,0.10731258988380432
LSTM_baseline,10,0.0850161761045456,0.11028493195772171
cnn_lstm_attn,1,0.06434352695941925,0.0877402275800705
cnn_lstm_attn,2,0.06956257671117783,0.09304951876401901
cnn_lstm_attn,3,0.06946403533220291,0.09269019216299057
cnn_lstm_attn,4,0.07224632799625397,0.09528929740190506
cnn_lstm_attn,5,0.07414739578962326,0.09844958782196045
cnn_lstm_attn,6,0.07577522099018097,0.10154680162668228
cnn_lstm_attn,7,0.07688212394714355,0.10284849256277084
cnn_lstm_attn,8,0.07784435898065567,0.10222947597503662
cnn_lstm_attn,9,0.07988603413105011,0.1035773828625679
cnn_lstm_attn,10,0.084407739341259,0.10786131024360657
