agent,timesteps,mean_step_reward
PPO_no_forecast,2048.0,-0.3816823661327362
PPO_no_forecast,4096.0,-0.539691686630249
PPO_no_forecast,6144.0,-0.4564400613307953
PPO_no_forecast,8192.0,-0.20661066472530365
PPO_no_forecast,10240.0,-0.3298390209674835
PPO_no_forecast,12288.0,-0.34777069091796875
PPO_DeepSched,2048.0,-0.540568470954895
PPO_DeepSched,4096.0,-0.6353798508644104
PPO_DeepSched,6144.0,-0.1398533135652542
PPO_DeepSched,8192.0,-0.3422296941280365
PPO_DeepSched,10240.0,-0.3686430752277374
PPO_DeepSched,12288.0,-0.23731729388237
